idx,pos_en,jd_en
7780,Senior Database Administrator,"1. Maintenance DB and patch update DB game during Week 2 MA. Design Database Schema / Structure For use with various systems And database design in the physical upon receiving flange design, logical data model and spec of application3. Query to search, edit and present the Report of 4. Store Procedure dealing with API5. Making Database Maintenance such as Backup. , Restore, Repair, Setup job schedule6. Database tuning to do, such as index, analysis of slow query7. data Store system and the data Management Structure and NOSQL8. monitor the movement of the irregular data. That may come from a system crash or be Hack9. Contact with foreigners. (English) 10. Administrators within the company, including the introduction of IT to further business. 11. Collect, store, manage, and enable the ability to browse the metadata of the organization."
7781,Senior System Engineer (Linux),"Responsibilities (Responsibilities): - Maintenance Server and patch update game moments MA weekly - Deployment and Configuration OS, DB, server and application based on Linux, Docker, Kubernetes, MySQL, Redis, Elastic search- Monitoring Server. , Network and application to control the stability of the system - to monitor and analyze the problems with the OS, Server, Network, Security and system games. The problem is again prevented - Liaise with foreigners. (English) - administrators within the company, including the introduction of IT to further business."
7782,Strategic Marketing Executive,"- Targeting Strategic planning and marketing responsibility for products - design, plan, implement and evaluate the activities and promotions to product liability - analysis, design and present innovative projects. The impact on the product or company - market analysis game. And consumer behavior, according to the applied products - allocate and manage the marketing budget as assigned - Coordinate with other departments. For results based on the put."
7783,Project Coordinator (Korean Speaking) Urgent !,- Coordinate between foreign Developer and Project team.- Follow up and control the work schedule between foreign Developer and Project team.- Translating various content from Thai to Korean and vice versa.- Research in foreign/international gaming markets.- Generate and create new ideas that may assist the Project team.
7784,Senior Web Developer Urgent !,"• access and analyze business requirements and development needs are •. Development of all of its systems Front-End, Back - End the system of support for other related Web sites and online games • Programming languages ​​PHP and Contact Database MSSQL, MYSQL, including No-SQL like Redis. , Mongo, including Data management system, such as Elastic Search in order to develop the site •. The control system developed to work with the quality, accuracy, efficiency and safety •. Third-Party Application System for effective use with existing systems appropriately. And effectiveness"
7785,HRD Officer @ Nong khae Plant,Responsibilities: - Conduct small group training with ability to encourage audience participation in training.- Update training materials based on participant feedback while working directly with other departments.- Progress tracking to meet deadlines for each activity.- Create labor training reports to be submitted to the government on a monthly basis.- Keep training record updated and communicate with all levels of employee
7786,HR Business Partner Senior Officer,"Department:            Corporate HRReport to:                 Compensation and Benefit Management Section Manager Working place:        Rangsit Plant (Phathumtani Province)Job Expectation; This position is expected to handle and manage the project that be assigned from BSCAP (Regional Head Office, Singapore) with the functional team in the role of HR business partner of TBSC Logistics Company Limited (Affiliated Companies of Thai Bridgestone Company Limited) as following example project; SuccessFactors (HRIS), Engagement Survey, Compensation and Benefit Management Project.Accountabilities;•Handle the regional HR project and maintain the implemented system with functional HR team.•Take the role of HR business partner of TBSC Logistics such in order to support the HR Project of TBSC Logistics aligned with Thai Bridgestone.•Manage and follow-up the timeline of each project to meet with the target.•Support other job assigned in the compensation and benefit management section as well."
7787,Internal Audit @ Rangsit Plant,"Department:   Internal Audit OfficeWorking place:   Rangsit Plant (Phathumtani Province) Job Objective;Engage to support and assist the Manager in regarding to all audit activities and promote Internal Control effectively in line with Internal Audit policy, including responsible for implementing audit procedures in according to best practices and effective controls within the Company.Accountabilities;•Assist the Manager in developing of internal audit plan, internal audit activities, reporting and relevant tools.•Perform assigned audit engagement on specific assignment and audits the activities of various departments described by manager.•Collect all necessary information in accordance with audit engagement.•Coordinate and execute the audit schedule, audit program, audit test, audit process, business process reviews and other information.•Report the progression on audit engagement and follow up corrective action plans."
7788,Compliance Senior Officer @ Rangsit Plant,"Department: LegalWorking place:         Rangsit Plant (Phathumthani province)Accountability; Engage to enhance and support Compliance and Good Governance for ""Group Companies Bridgestone in Thailand"" as follow;•Participate to initiative, maintain and update policies and procedures of Compliance, Operation Ethic and Management Guideline for employee.•Control and support the corporate operation in align with law, company regulation and good governance system and also participate in identify and assess risks of compliance.•Participate with other departments to initiative and revise operation standard / work instruction in align with corporate compliance.  •Conduct the effective compliance communication program to employees."
7789,Corporate Communication Assistant Section Manager @ Silom,"- Set operation & budget plan and cooperate with media to create media activities such as Press Conference Thank Press, seminar etc. in order to increase channels to promote corporate information .- Develop Internal and external PR plan to enhance media relations via activities such as congratulate on media anniversary, Happy New Year, executives meet the press with all media categories such as newspaper, TV- Develop PR plan to promote corporate activities to employees via intranet including creating a magazine for dealers. Moreover, develop strategies plan and corporate information management to enhance a good corporate image to Public.- Crisis Management: Develop crisis communication plan and coordinate with the third party to manage crisis.-  Promote a good corporate image."
7791,Hostess (service and food / drinks reception).,"We are looking for young beautiful ladies from AEC community countries (esp. Thai / Pilipino / Burmese / Vietnamese / Lao) to work as a hostess / waitress / receptionist for AMATA CORPORATION PCL.The position requires you to give 6 stars service to all the. guests including VIP & VVIP of Amata. you will work in the Thai Traditional House Style on the 6 floor Kromadit Building (AMATA) new Petchburi road works and serves drinks and meeting rooms. Welcome visitors The hospitality and catering services, meeting rooms and a critical VIP, VVIP."
7792,Executive Secretary / Nurse,"•Provides some basic professional medical care and advise, perform nursing assistant to the executive if necessary. •Manage executive's appointments and schedule, plan and schedule meetings, conferences, teleconferences, and traveling arrangement.•Prepare routine and advanced correspondence including letters and memorandum. Maintain systematic documents filing.•Prepare related reports, data analysis, preparation of presentations as requested by supervisor or assigned projects.•Represent the executive, attend meetings in the executive's absence.•Perform any related secretariat or nursing tasks."
7793,Legal Staff (Salary 20K),"Responsible for preparing application form of set up company, Foreign Business License, BOI, Work Permit, Visa and other relevant fields.Support the Legal task that was assigned by senior legal staff and experienced legal staff.Attend the meeting with client and contact officer of each department (DBD, Labor Department and so on)Research the amendment related to Business Law."
7794,Accounting operator,1. Check - Billing 2. I complete the program MAC.53. 4 import data into accounting software. Prepare a report on late payments 5. Check 6 in the banking system. Track customer payments.
7795,Japanese Coordinator (Start to N2),"1. coordination between countries to develop Application (China, Thailand, Vietnam, Japan). 2. Translation 3. Support Team Application4. May be required to work holidays Then change holidays other days (working as Programmer)."
7796,"Marketing - Sales Promotion Officer @ Head Office - Power Buy, Silom",Preparing promotion documents supporting Marketing team.Coordinating with supplier for participated  SKU.Register promotion into systems.Preparing financial promotion kit for store.Coordinating with Bank partner for media proof.Other assign by Management.
7797,Sales&Marketing Officer,"1. Visiting customer & focusing on market demand and competitors movement.2. Developing new market and maintaining existing customers.3. Implementing and controlling marketing subjects to achieve sale target.4. Analyze & verify customers data in order for commercial negotiation.5. Creating sale promotion activities and sale tools.6. Providing customers with consulting, including ABC service, product training etc."
7798,Maintenance Engineer (Electrical),Preventive Maintenance and MC & Utility keep level for smoothly production.New set up and Improvement work.
7799,HR Executive - Urgently!,"- Handling a full spectrum of Human Resources including recruitment, welfare and benefits management, performance management, learning and development and employee relations.- Perform in the recruitment process and participate in interviewing and selecting candidates in position of PC   (Product Consultant) at all stores and other positions as required.- Design the training need survey program and arrange the proper training to each department.- Monitors and improve the performance of training (In-House, Public) to ensure the employee will be developed to support the company growth.- Provide guideline, consultation for employees to ensure the HR good practice.- Develop and maintain HR data bases, software system, (Time attendance, leave, personnel data, etc.) - Provide administration support, prepare required documents to employees. - Other duties as assigned.- Working location : 58, 58/1-5, 5th Floor, Soi Sukhumvit 63, Phrakhanong Nua, Wattana, Bangkok- Working hour : Monday-Friday 08.30-17.30"
7800,Project Marketing Officer,"Responsible for creating balance Walk to the project, responsible for strategic planning. Event marketing The analysis by the Budget Department of Marketing in the market and competitor analysis, customer care areas. To summarize data with supervisors plan marketing both offline & online."
7801,"Accounting Supervisor (Salary 30-35K, Location : Yannawa)","Manage Accounting and Finance.Check Accounting Document for AR and APPrepare monthly financial statementCheck P.N.D. 3,53, Commission Checking, Insurance, Audit TaskClose monthly and annual financial statementRelevant Task"
7802,"Sales Planning Supervisor (SAP - Bangbor, Samutprakarn)","Position: Sales Planning Level: SupervisorWork Location: Bangbor, SamutprakarnJob description:- To responsible for controlling sales forecast plan (MP/EOL). - To control delivery plan as customer requirement.- Update weekly forecast & inventory system.- Analysis and report.- Work as per assignment form superior."
7803,"Account Sales Supervisor (SAP - Bangbor, Samutprakarn)","Position: Account SalesLevel: SupervisorWork Location: Bangbor, SamutprakarnJob description:- To control and manage New Model, Car maker and First tier.- To attend and service valued customer invitations, meetings, etc. about Cost, Engineering, Quality and Delivery.- To control prices both buying and selling.- Work as per assignment form superior."
7804,"EDI Officer (Base in SBMM Office, Soi Pattanachonbot 3, Motorway Rd., Lad Krabang)",- Key waybills Incoming or outgoing Via air or sea - to check documents.
7805,Finance Team Leader (Base at Head Office),"- Reportings, Budgeting, Forecaseting, accounting and General Ledger.- Tax, Control.- Treasury, CAPEX."
7806,"Business Development Industrial Projects Manager, Oil and Gas/(Base at Head Office)","- Manage, control and develop the overall Industrial Projects and Oil & Gas Customers engagement strategies/activities in the area in accordance with the group business strategy and local business environment to deliver maximum profit optimize business assets and human resources (area of responsibility would be entire TH, with focus on Bangkok and the Rayong / Chonburi industrial project area).- Support Country IP Head to devise, fine tune and implement overall Business Development strategy and directives .- Drive market profiling and customer/competitor research & analysis activities to understand and identify market opportunities and challenges.- Ensure effective pricing strategies are developed to sustain profitable growth."
7807,Oceanfreight Export Specialist,"- To work and follow oceanfreight export process.- To provide the correct information of oceanfreight export process to customer.- To maintain and keep oceanfreight export process smoothly flowing.- To handle customer complaints and assist in handling daily communications and correspondence to external customer.- To coordinate with other department on operational activities, issues resolution, process implementation and performance improvement according to company policies."
7808,Customer Implementation Specialist (Base at Head Office),"- Support and drives customer implementation, project management and ensures compliance to implementation procedures.- Ensures customer implementation milestones and all task are performed and followed up.- Supports and leads local customer implementation projects.- Supports successful onboarding of regionally managed customer implementations in country.- Ensures all customer requirements are fully understood, can be met and are documented.- Gathers information required to fulfill implementation and Interacts, communicates with key stakeholders.- Establishes customer implementation plans and develops processes which will result in the achievement of country implementation KPI and delivery against defined targets."
7809,Customer Services Specialist (Airfreight)/(Based at Head Office),"- To work and follow airfreight process.- To provide the correct information of t airfreight  process to customer.- To maintain and keep airfreight process smoothly flowing.- To handle customer complaints and assist in handling daily communications and correspondence to external customer.- To coordinate with other department on operational activities, issues resolution, process implementation and performance improvement according to company policies."
7810,Oceanfreight Import Specialist,"- To work and follow oceanfreight import process.- To provide the correct information of oceanfreight import process to customer.- To maintain and keep oceanfreight import process smoothly flowing.- To handle customer complaints and assist in handling daily communications and correspondence to external customer.- To coordinate with other department on operational activities, issues resolution, process implementation and performance improvement according to company policies."
7811,"Sales Executive (Base at T.Ban-Klang, A.Muang, Lamphun)","- Manage, control and develop the overall Corporate Customer engagement strategies/activities in the area in accordance with the group business strategies and local business environment to deliver maximum profit and optimize business assets.- Coordinate with operation team to ensure shipment process as Customer’s requirement.- Provide quotation/Solution to customer with the consultation with team."
7812,Software Sales and Marketing,"Screening potential business deals by analyzing the market, deal requirements, potential and financials as well as evaluate options.Plan the marketing strategy for both online and offlineDesign an online marketing campaign, including raising the quality of contact in all marketing channelsSearch for appropriate marketing channels for the new products to stay compatible with the current trendOpportunity to collaborate with several stakeholders both internal and external, such as marketing company and sales partner companiesManaging, responding to and supporting customer requirements in order to ensure that productsand services meet their highest level of satisfaction.Coordinating with business partners, distributors, and media agency for conducting marketingresearch, marketing plan implementation, and label& product development."
7813,Faculty (20 positions).,Lectures of English of Arts Programme are responsible for the following tasks:• Designing and producing materials and activities to develop students' proficiency of English and students' learning performance by implementing and bringing technology into classrooms• Teaching English to students using English as a mean of communication (Thai is allowed when necessary) and implementing active learning approach• Arranging language culture activities for students and staff• Supporting the programme's PR activities or marketing events• Working in collaboration with as well as assisting the university's Bilingual Programme with particular assignments• Attending and contributing to training sessions• Being familiar with using various kinds of digital gadget and ICT/mobile applications is preferable
7814,Senior Graphic Designer,"Senior Graphic 1. Web design, public relations, University 2. PR other"
7815,scientist,The experiment has been assigned to prepare a report on the programs of universities and other assignments.
7816,Asst.Human Resources Mgr.,"- Plan Management And human resource development in line with the annual target - manpower planning. And analyze the cost expenses and the employment rate, improve and monitor employee - track recruitment deadlines - set training strategies according to the Road Map and in accordance with the law and submitted to the Department of Skill Development. Labor to certify courses"
7817,R&D Staff/New Model Staff,1. Make New Design.2.can made Prototype 3. Contract   with customer
7818,System Engineer,"Installation, configuration design, computer system includes a server (Server), backup devices (Storage), network (Network Security), such as Firewall, Router, Switch, Load balance and so on."
7819,Programmer,• Application development on. Net Frame Work and Mobile Application • Preparation Program Guide and Program test.
7820,Collection Manager,"Manage case allocation and other operation.     Supervise and Monitor to payment, activities and following the results from customer.    Handle customer complaint.    Provide instruction to team for problem solving.    Coordinate with the related units in case any customer have problem.    Provide instruction to team for improvement.     Management team Credit & Collection for successful."
7821,Business Development (Sales IT - Rayong and Bangkok).,"• The sales of IT products, Consumer goods for sale to the Dealer and Sales for Commercial Products Group sales for the Project • Rayong and Bangkok."
7822,Purchasing Analyst,"Update/Search for any new materials required by internal department, sourcing suppliers to fulfill requirement and expand supplier portfoliosLead process of provide necessary Analysis, Reports (actionable), performance dashboard, and importantly able to provide recommendations for opportunitiesUpdate trend of the major commodities for procurement team.Responsible for efficient of information which are required by stakeholders"
7823,Online Marketing,"Strategic use of online media to do and meet the objectives. To stimulate the market and create a marketing plan to grow sales and use every channel using Media Online is the main Website, Google, Facebook, Line Others offer new ways. To develop a marketing plan to achieve sales channel. Online creative And information The idea of ​​an online marketing campaign produced Content cool Cool took a blow in sales as well. Knowingly stream And adopt a portfolio with the ultimate visual Tii reports and statistical information. Related to marketing communications online. The goal Measurable and clearly"
7824,Pre-sales Engineer (Software Antivirus),• Support sales team to present product in technical and product demo.• Provide solution.• Config and complied spec for dealers
7825,Pre-Sales Engineer (Big Data : Hortonworks),"•Be a technical and business consultant•Work closely with Sales team•Provide product knowledge support to Sales team•Understand customer needs, pain points and key decision factors•Provide consultation, design solutions and help with the implementation of Hortonworks products•Prepare proposals, presentations, demos, POCs, statement of work(SOW) and TOR as needed•Conduct workshops, product update and product training to customers and business partners•Support Marketing team on marketing campaigns, events, case studies, etc.•Work closely with vendor to ensure the success of the product"
7826,Sales Account Executive (Tele Sales),"- boost sales of IT products to its customers - Support Sales Team - Coordinate, track and resolve issues arising from the sale - with a love of service ** ** Salary + commission."
7827,SENIOR ACCOUNTING MANAGER - FOOD INDUSTRY (180-200K),"Managing and overseeing the daily operations of the accounting department including:month and end-year processaccounts payable/receivablecash receiptsgeneral ledgerpayroll and utilitiestreasury, budgetingcash forecastingrevenue and expenditure variance analysiscapital assets reconciliationstrust account statement reconciliations,check runsfixed asset activitydebt activityCoordinate and complete annual auditsProvide recommendationsImprove systems and procedures and initiate corrective actionsAssign projects and direct staff to ensure compliance and accuracyMeet financial accounting objectivesEstablish and maintain fiscal files and records to document transactionsMonitoring and analyzing accounting data and produce financial reports or statementsEstablishing and enforcing proper accounting methods, policies and principle"
7828,System Administrator,"Responsible for design, programming, test and maintain application   Install and configure software and hardwareManage network servers and technology toolsSet up accounts and workstationsMonitor performance and maintain systems according to requirementsTroubleshoot issues and outagesEnsure security through access controls, backups and firewallsUpgrade systems with new releases and modelsDevelop expertise to train staff on new technologies"
7829,HUMAN RESOURCE MANAGER (80 - 100k),"Human Resource Management (HRM)Plan, direct, analyze, modify and coordinate human resource management activities of an organization to maximize the strategic use of human resources and maintain functions such as employee compensation and benefits, wage and salary statements, recruitment, personnel policies, discipline, regulatory compliance and SOP / Code of conduct, legal requirement and performance appraisal.Allocate human resources, ensuring appropriate matches between personnel, provide current and prospective employees with information about policies, job duties, working conditions, opportunities for promotion, termination, and retirement.Advise managers on organizational policy matters such as equal employment opportunity and recommend needed changes.Foster effective communication between employees and management.Strategic planning, complex problem resolution, and general management expertise. Human Resource Development (HRD)Plan, develop, analyze, design and implement a training program and human resource development programs and strategies for employees and organization.Modify the human resource development activities to maximize the strategic use of human resources.Plan, forecast and manage the project that assigned by Corporate Administration Department Manager."
7830,Customer Service - Urgently!!!,"• Responsible for maintaining a high level of professionalism with clients and working to establish a positive relationship with every customer.• Ensure customer sales order and process accros the company  distribution channels: retail,foodservice and e-commerce.• Provide account service customer by receiving and coordinating orders, payments and ensuring high delivery standards.• Interact and coordinate with other deparments to address customer or orders concerns  and find suitable solutions to warranty the full integraty of the company service and orders.• To be able to work and support customer database management and new account process.• Cross-sell company products by answering customers inquieries  by email or phone and informing them of new service and product promotion.• To be able to work in a fast reponse environment and to ensurethe smooth running of the company process orders and operations.• Impact the company's bottom line by providing problem solving and turning frustrated clients into repeted  customers• Work with management team to stay updated on product knowledge and be informed of any changes in company policies • Meet customer service team sales target and call handling quotas• Handle customer complaints, provide appropriate solutions and alternatives within the time limits"
7831,Marketing Coordinator (F&B Business),"- Develop and implement marketing communications materials to support F&B Business.- Initiate new channels of sales, promotion and activities which can increase brand awareness & sales.- Coordinate with F&B team on costing and selling prices.- Work with purchasing team to select new & existing  products (seasonal product, MOQ, sales forecast).- Organize photo shoot for marketing purpose.- Prepare monthly sales reports by stores, by promotion.- Evaluate all marketing promotions and activities to the management team.- Follow up with stores to get sales figures and feedbacks from customers.- Coordinate within the team to complete all necessary POSM.- Support  team for other assignment to be assigned."
7832,Machinery safety engineer / Technical service engineer (Industrial safety / Electronics / Instrumentation / Electrical / Mechanical Engineer),"Purpose of the Job:Job profile as a machinery safety consultant, Project management, implementation and services.Execute and conclude the projects, related to machinery safety.To be able to design, costing of project and trouble shoot electrical control system.Getting  prepared the required documentation as drawings for handing over and sign off the project with customerVendor development, project completion through vendor, vendor evaluationMajor Activities & responsibilities: Able to provide pre-sales support to sales, such as costing from vendor, drawing, BOM etc...To be able to design, wire and trouble shoot the electrical control system of the machine.Complete the interfacing, testing, troubleshooting and handing over the complete project to close.Monitor and execute the service projects.Prepare the installation commissioning work schedule in consultation with vendors/contractors and communicate to the end customersTo handle, monitor and complete the services projects with help of vendors/contractors. To provide the support to customer for any problem faults faced in control system after completion of the project.Manage to provide internal & external training, seminar, presentations for Business developmentDo the machinery safety audits (risk assessment, safety validation) as well as machinery safety training to the customersMajor Challenges•Ability to work independently as service/project manager•Ability to work independently to manage entire project operation to complete project cycle (Pre-sales to post till handover & closing.•To handle the service project to achieve full customer satisfaction and gain repeat orders.•Handling multiple projects on multiple sites without compromising quality and customer satisfaction•Flexibility to travel all over India•To define safety standard with approval as per specification from international safety regulation                  with various OEM’s, Consultants and End Users"
7833,Maintenance  Technician (1 Position),"1. Maintenance of machinery in the production line 2. PM used as planned 3. Predictive Maintenance4. Administrative power plants, wind systems, air conditioning systems, waste water treatment."
7834,BIM experts,1. BIM consulting to clients 2. Plan on providing BIM 3. Teach Program offers customers 4. Care about BIM and related organizations.
7835,Aid officials and installations,"1. Install the client 2. Quotes about computers, networks and program distribution company 3. Administrators within the company"
7836,Building Attendant- Executive Building,"• Coordinate the assignment • The housekeeper, Security., Gardener, mechanic • check the contractor's offer is subject to building • Check the completeness of all buildings • Delivery - Delivery. Office space rental customers and rental stores QS • Renovate the building area. • Get a job prior to award. Repair of buildings and coordinate with the building engineer or contractor to finish the job • neatness and care coordination. In terms of marketing such as events both inside and outside the building."
7837,LEGAL MANAGER (120 – 150k),"Reviewing/providing comments on various types of commercial contracts for all departments punctually and correctly ,loan/security agreements, sales/procurement agreements, service contracts;Drafting other legal documents as may be requested from time to time by business units including power of attorneys, legal notices, and corporate minutes.Liaising with government entities in relation to legal matters.Providing general legal advice on various aspects of law including corporate & commercial law, foreign business & employment law, dispute resolutions;Cooperating with external lawyers on transactions, litigation or dispute resolutions or other legal matters as required by business units"
7838,Human Resources and Administration Manager,"Department: Human Resources and Administration Department: Plant supervisors: Director Duties and responsibilities: •. • Budgeting Department has prepared a revised salary structure, benefits, and bonuses • Improve oversight and regulation functions • supervision on welfare committee. And other related activities • The employment contract employees monthly. daily Worker Employees liner insert the connector • adjust the daily supervision of Sub connector insert. Management of Foreign Workers And preparation of documents • About Migrant Workers Preparation of annual assessment of the fine. Evaluation bonus And evaluation of probationary supervision • Labor organizations • To prepare and store records of employees' monthly •. Prepare a written warning letter released by the record books •. Check out Application for approval of manpower. • Planning and Personnel Liaise with Subcontractor The new staffing • Annual training plan. Support and training Hai as planned. And in accordance with the Law •. Welfare Committee Meeting And Safety Board With Safety (Safety) • Help prepare salaries and wages. • Verify the correct contact and coordination with government agencies. Or the relevant external • Coordinate the donation. And • to donate Contact the Social Security contributions for both, to inform him - out of Social Security. • Establish and fund report costs. And the number of employees daily routine • Organization provided an overview of the company • Establish coordination. The annual health check Related Documents• Help documentation licenses. The annual The settlement was filed with the Department of Plant and to permit waste materials out of the factories and industrial waste. A license renewal activities that are harmful to health. • license or food prepared in charge of the sale. Delivery of the sale to the customer. Preparation of production orders Coordinate and supervise the activities Accounting • New Year ceremony and other related •. Oversee the responsibilities of a gardener, chauffeur, maid to take care of the cleanliness of the plant: • Responsible for the procurement of a maid, a gardener, and other related parties • Control for petty cash disbursements for the purchase of closing. • supervise the cafeteria tidy toilet water • supervise the work of the security staff. And safety"
7839,FINANCIAL CONTROLLER - MANUFACTURING PLANT (150 – 250K),"Ensure the accurate preparation / reporting of monthly financial results in strict accordance with Company deadlinesResponsible for the standard raw material cost as well as finished good in the factoryWork closely with logistics department for inventory control purposeHandling payroll system in the plantResponsible in auditing for travel and non-travel payment and expenseResponsible for overall general ledger activitiesImplementing the internal accounting controls for the plantReview and analyses key financial indicators with the senior management in the manufacturing facility to ensure the achievement of profit targets of the company operationSupport the business expansion by identifying a  good opportunity for the factory productivity improvementEnsure compliance with statutory authority and audit requirements.Analyze business, operational performance / results, providing feedback as well as the recommendation to Senior Management.Ensure any variations to budgets and forecasts are explained in management reports, including any future / potential exposures to the organizationIdentify the effective Cost management strategy in order to maximize return for operation.Responsible for Environmental Health and Safety (EHS) program in the plant"
7840,HRD Executive ( Learning Management System ),"Job Responsibility :•Design and analysis Training Road-map & Training Courses consistent with core competency•Review with Business Units on Performance Gap & Training Needs to design, develop, create content E-learning project•Handle Orientation program for new staff•Follow up and implement OJT system•Responsible and ensure accuracy of relevant Government report"
7841,TECHNICAL LEADER (200-250K),"Technical and you understand that behind any technical decision there is a business need to be fulfilled.Focus on supporting the business priorities, be pragmatic about technology choicesIdentify and support growth of talents, provide feedback and look after people’s personal developmentFacilitate an agile development team (small team of 4 – 7 people)Collaborate with the team and Product Owner to prioritize the projectsProvide support to both internal and external team members where necessaryDevelop systems, tools and improve effective delivery without compromising on qualityPromote good development methodologies via code reviews, great software design, brown bags or tech talks"
7842,SAP B1 Consultant,"Analyzing business requirements to determine functional solutions Creating functional design documents and other functional project deliverables Participating in fit gap of current processes to future designed processes Developing business concept/designs for processing required to fill identified gaps in the platformConfigure, test and implement SAP to meet business requirements.Interface with client end users independently to prepare participants for meeting sessions and to answer questions regarding their business functions as it relates to AdvantagePerform full range of customer support activities.Provide end user training as needed"
7843,ACCOUNT MANAGER (80k – 130k),"Deliver predetermined revenue targets.Responsible for all marketing and sales activities in assigned accounts.Manage quality and consistency of product and service delivery.Develop a distribution channel/agent network.Participate in sales forecasting, prepare and executing plan to increase sales revenue.Prepare action plans and schedules to identify and target specific contacts or potential clients.Maintaining details in CRM and managing existing data in an effective manner.Approach targeted contacts or potential clients and build a strong relationship.Prepare and deliver commercial presentations, proposals and sales contracts in order to archive desired outcome.Establish and maintain current client and potential client relationships. Prepare paperwork to activate and maintain contract services. Prepare a variety of status reports, including activity, closings, follow-up, and adherence to goals. Maintaining up-to-date understanding of industry trends, technical developments and government regulations that effect target marketsEvaluate customer needs and work with internal stakeholders to deliver effective solutions. Coordinate with company staff to accomplish the work required to close sales.  Coordinate and organize technical workshop or exhibition stall and represent the company in exhibitions.Implementation of administrative responsibilities.Participate in marketing events such as seminars, trade shows, and telemarketing events. Coordinate administration, Finance and other HR related work with relevant departments."
7844,Utility Control Engineering,"Job Descriptions      ? PM & Predictive Maintenance for Preventive Machine Breakdown.(including Rotating Machine and Electrical Machine System)      ? Control and order spare part for support machine.      ? Troubleshoot machine loss time and analysis for Permanent Improvement      ? Design, Arrange and Construct to improve factory facilities and production equipment    (including utility equipment)      ? Create and management documents related to engineering workQualifications"
7845,Logistics Engineer,"• Delivery Control (Domestic, Export and Quality Control)• Cost Containment • Manpower Management• Working directly with external and internal groups on facility flow, facility layout, inventory controls, data analysis, process flow• Identify cost-reduction or process-improvement logistic opportunities"
7846,Chief Accountant,- manage the plant cost accounting system - Management method of allocating costs on a product - costing about - controlling stock in Accounting.
7847,Marketing Manager/ Business Development,• New business opportunities. For details and to invest in businesses. As assigned • Collect and analyze information Feasibility studies on investment returns and to offer an affordable alternative to the bosses •. Business Plan And presents reports The project involves the assignment of English have a motorcycle license. Able to travel upcountry
7848,Import-Export Officer,"ROLECoordinator and service provider of import and export process including of shipment information for company group.Responsibilities•Coordinate with Oversea, Carrier, Shipping agent and Freight forwarder.•Follow up import and export shipment.•Update shipment status to Sales-team and concerned parties•Coordinate with warehouse for loading export cargo and unloading import cargo.•Claims handling•To performs miscellaneous job-related duties as assigned.•Follow company policies and regulations, and all implemented."
7849,Staff ERP system,"1. Design Form, Report, Inquiry in Microsoft Dynamics AX 20092. Installation Software Microsoft Dynamics AX 2009 provides users with administrator 3. Microsoft Dynamics AX 2009 to run smoothly 4. resolve daily. to people who use Microsoft Dynamics AX 20095. management database administrator MS SQL6. development Business Intelligent capped by data in Microsoft Dynamics AX 2009 with their language skills 7. develop more. According to the assigned"
7850,Technician / Engineer,Action - off of machinery and equipment engineering systems in the building to check the operation of the equipment and the systems engineering data collection functionality of the Machine and device engineering systems repair and equipment of the system. engineering building made history repair problems prompted by the co-owner / user space to save Caprica. At the utilities each month to prepare daily reports.
7851,Chemist R&D,"• Development of new products, improvement of quality & performance.• Research chemistry glue products• Analyze product and sellingRequirement:• Familiar with GC, MS, IR, Tensile Testing equipment• Experience in Chemistry glue will be an advantage• Good Command of English, Courage and Initiative• Strong interpersonal and Responsible"
7852,Accountant,- check SO for invoicing goods. And service to the customer - will issue a credit / debit memos for goods and services to customers - reconciling invoices outstanding. (Outstanding) - do not pay tax to the IRS with filing deadlines - report value added tax (Worlds. 30) filing with the IRS on schedule - coordination with the relevant authorities. And finding solutions to problems. So well done - other practitioners. Duties as assigned And in the scope that can be implemented.
7853,trainee,"Legal aid staff in the estate, dating quizzes help in the office. So that the office can operate."
7854,Sales Engineer / Sales Executive - Positions.,"• Responsible for offering clients advice and solutions to clients correctly •. Prepare quotations, product information, reports and related documents •. Plan to meet with existing customers - New monthly reports summarizing data from customer to customer •. Maintain existing customers and create new customers for the company. Build good relationships with clients regularly."
7855,Purchasing Coordinator.,"- Check Cost - Price Calculator - Liaise with overseas orders for delivery of E-mail- liaise with the freight forwarder, shipping."
7856,ER Staff,"Support & coordinate the company activities such as Anti Drug, New Year Staff Party,Sport Day, Home Town Development Project and etc.         Keep and record the Welfare Committee requirement including prepare data for reporting to HR & GA Department Manager and Top Management.         Coordinate with Top Management, Management and employees for joined the company activities including internal and external activities.         Initiate, improve, develop effective internal communication channels to build up working conditions, positive understanding, employee engagement and etc.Initiate, improve, develop employee activities both core activities & ad-hoc or newly initiated activities."
7857,Marketing and Sales Online (Supervisor).,- Market analysis and competitor plans to develop creative ways to develop online marketing tools to brand - strategies in sales. Add advertising channels through Social Media in the Promotion of the work of the team. Achieve sales and profit targets of the company - plan. Training and Development Control of the team in line with the company - coordinating with stakeholders both inside and outside the company - proactive. With the new project. To develop a marketing plan and develop the brand's position in the market for more coverage.
